_id;datetime;predefinedlocationreference;averagevehiclespeed;traveltime;traveltimereliability;trafficstatus;vehicleprobemeasurement;geo_shape;gml_id;id_rva_troncon_fcd_v1_1;hierarchie;hierarchie_dv;denomination;insee;sens_circule;vitesse_maxi;longitude;latitude
671a44554397ae3ceaf663bf;2024-10-24 14:53:00;10274_G;74;9;60;freeFlow;1;{'type': 'Feature', 'geometry': {'coordinates': [[-1.641824779581796, 48.04548610811051], [-1.644021656467099, 48.04521372350632]], 'type': 'LineString'}, 'properties': {}};rva_troncon_fcd_v1_1.5462;5462;Réseau d'armature;Réseau de transit;Route départementale 34;35206;;70;-1.6429232180244475;48.045349915808416
671a44554397ae3ceaf663c6;2024-10-24 14:53:00;10281_D;69;20;57;freeFlow;1;{'type': 'Feature', 'geometry': {'coordinates': [[-1.628692471059177, 48.045615848107055], [-1.627077428881016, 48.0454427571363], [-1.625832807120928, 48.04530934937375], [-1.624969938520137, 48.04521685256642], [-1.624968057492526, 48.045216666172564], [-1.623507207788626, 48.0450837036663]], 'type': 'LineString'}, 'properties': {}};rva_troncon_fcd_v1_1.5452;5452;Réseau d'armature;Réseau de transit;Route départementale 34;35206;;70;-1.626100671092705;48.04534138277834
671a44554397ae3ceaf663c7;2024-10-24 14:53:00;10281_G;72;20;60;freeFlow;1;{'type': 'Feature', 'geometry': {'coordinates': [[-1.623485557474728, 48.045190654222196], [-1.624945467991785, 48.045323531249295], [-1.625807399433694, 48.04541592759436], [-1.627052023679901, 48.04554933562082], [-1.628667069102553, 48.04572242694495]], 'type': 'LineString'}, 'properties': {}};rva_troncon_fcd_v1_1.5455;5455;Réseau d'armature;Réseau de transit;Route départementale 34;35206;;70;-1.6260771440570991;48.04544815642694
671a44554397ae3ceaf663ca;2024-10-24 14:53:00;11579_D;84;3;35;freeFlow;1;{'type': 'Feature', 'geometry': {'coordinates': [[-1.664836558485262, 48.05283907284332], [-1.66483008199996, 48.05289683167433], [-1.664695680659715, 48.05346563533546]], 'type': 'LineString'}, 'properties': {}};rva_troncon_fcd_v1_1.5456;5456;Réseau d'appui;Réseau structurant;Route départementale 82;35206;;80;-1.6647692523936504;48.05315289782038
671a44554397ae3ceaf663cb;2024-10-24 14:53:00;11579_G;64;4;60;freeFlow;1;{'type': 'Feature', 'geometry': {'coordinates': [[-1.664854681179448, 48.05348252316887], [-1.664989597939636, 48.05291153072684], [-1.664990362823412, 48.05290713246796], [-1.66499708688846, 48.05284716396599]], 'type': 'LineString'}, 'properties': {}};rva_troncon_fcd_v1_1.5443;5443;Réseau d'appui;Réseau structurant;Route départementale 82;35206;;80;-1.66492923465493;48.05316542840295
671a44554397ae3ceaf663cd;2024-10-24 14:53:00;11654;70;2;100;freeFlow;3;{'type': 'Feature', 'geometry': {'coordinates': [[-1.69939666084956, 48.06300113252478], [-1.699512313760426, 48.062706904187756]], 'type': 'LineString'}, 'properties': {}};rva_troncon_fcd_v1_1.5445;5445;Réseau d'appui;Réseau structurant;Route départementale 837;35066;Sens unique;70;-1.6994544873049928;48.06285401835627
671a44554397ae3ceaf663ce;2024-10-24 14:53:00;11777_D;21;4;60;congested;1;{'type': 'Feature', 'geometry': {'coordinates': [[-1.66556516459862, 48.04407794858163], [-1.66540023294212, 48.04409921010952]], 'type': 'LineString'}, 'properties': {}};rva_troncon_fcd_v1_1.5444;5444;Réseau d'armature;Réseau de transit;Route départementale 34;35206;;70;-1.66548269877037;48.04408857934558
671a44554397ae3ceaf663d1;2024-10-24 14:53:00;11781_G;41;2;60;freeFlow;1;{'type': 'Feature', 'geometry': {'coordinates': [[-1.664895842227151, 48.045210364886685], [-1.664965014751939, 48.04499438880876]], 'type': 'LineString'}, 'properties': {}};rva_troncon_fcd_v1_1.5449;5449;Réseau d'appui;Réseau structurant;Rue de Rennes;35206;;30;-1.664930428489545;48.04510237684772
671a44554397ae3ceaf663d2;2024-10-24 14:53:00;11784_D;47;1;35;freeFlow;1;{'type': 'Feature', 'geometry': {'coordinates': [[-1.664788470260239, 48.04707506701535], [-1.664834083274422, 48.04714761970242]], 'type': 'LineString'}, 'properties': {}};rva_troncon_fcd_v1_1.5448;5448;Réseau d'appui;Réseau structurant;Rue de Rennes;35206;;30;-1.6648112767673304;48.047111343358885
671a44554397ae3ceaf663d5;2024-10-24 14:53:00;11785_G;33;1;60;freeFlow;1;{'type': 'Feature', 'geometry': {'coordinates': [[-1.664973373426551, 48.047569863278305], [-1.665005588713452, 48.04748281806035]], 'type': 'LineString'}, 'properties': {}};rva_troncon_fcd_v1_1.5437;5437;Réseau d'appui;Réseau structurant;Rue de Rennes;35206;;30;-1.664989481070002;48.04752634066933
